Version,OCP Version,Cluster,Duration,Iteration,Scenario,Type,CPU,Max CPU,Kernel,Sideloaded
4.11,4.11.0-rc.5,worker-1,8h,1,idle,os daemon,0.3273333,2.524684,,No
4.11,4.11.0-rc.5,worker-1,8h,1,idle,infra pods,2.2300173,,,No
4.11,4.11.0-rc.5,worker-1,8h,1,workloadlaunch,os daemon,0.5839221,2.9417392,,No
4.11,4.11.0-rc.5,worker-1,8h,1,workloadlaunch,infra pods,2.4976482,,,No
4.11,4.11.0-rc.5,worker-1,8h,1,mustgather,os daemon,1.4193333,3.9057144,,No
4.11,4.11.0-rc.5,worker-1,8h,1,mustgather,infra pods,2.7176135,,,No
4.11,4.11.0-rc.5,worker-1,8h,1,promquery,os daemon,0.48,2.8723811,,No
4.11,4.11.0-rc.5,worker-1,8h,1,promquery,infra pods,2.4863811,,,No
4.11,4.11.0-rc.5,worker-1,8h,1,steadyworkload,os daemon,0.5126667,2.7669982,,No
4.11,4.11.0-rc.5,worker-1,8h,1,steadyworkload,infra pods,2.3243315,,,No
4.11,4.11.6,worker-1,8h,1,idle,os daemon,0.2073333,2.1065667,,No
4.11,4.11.6,worker-1,8h,1,idle,infra pods,1.9165667,,,No
4.11,4.11.6,worker-1,8h,1,workloadlaunch,os daemon,0.684,2.5545986,,No
4.11,4.11.6,worker-1,8h,1,workloadlaunch,infra pods,1.9928325,,,No
4.11,4.11.6,worker-1,8h,1,mustgather,os daemon,0.4233333,2.7743739,,No
4.11,4.11.6,worker-1,8h,1,mustgather,infra pods,2.5003739,,,No
4.11,4.11.6,worker-1,8h,1,promquery,os daemon,0.3333333,2.6004342,,No
4.11,4.11.6,worker-1,8h,1,promquery,infra pods,2.3251009,,,No
4.11,4.11.6,worker-1,8h,1,steadyworkload,os daemon,0.3053333,2.2416265,,No
4.11,4.11.6,worker-1,8h,1,steadyworkload,infra pods,1.9889599,,,No
4.11,4.11.6,worker-1,8h,2,idle,os daemon,0.2706667,2.1012317,,No
4.11,4.11.6,worker-1,8h,2,idle,infra pods,1.8432317,,,No
4.11,4.11.6,worker-1,8h,2,workloadlaunch,os daemon,0.6840174,2.3984998,,No
4.11,4.11.6,worker-1,8h,2,workloadlaunch,infra pods,1.9657055,,,No
4.11,4.11.6,worker-1,8h,2,mustgather,os daemon,1.0353333,3.5121748,,No
4.11,4.11.6,worker-1,8h,2,mustgather,infra pods,2.4768414,,,No
4.11,4.11.6,worker-1,8h,2,promquery,os daemon,0.3766667,2.8966067,,No
4.11,4.11.6,worker-1,8h,2,promquery,infra pods,2.5412733,,,No
4.11,4.11.6,worker-1,8h,2,steadyworkload,os daemon,0.4013333,2.3512762,,No
4.11,4.11.6,worker-1,8h,2,steadyworkload,infra pods,2.0004197,,,No
4.11,4.11.6,worker-1,8h,3,idle,os daemon,0.248,2.0830706,,No
4.11,4.11.6,worker-1,8h,3,idle,infra pods,1.8884039,,,No
4.11,4.11.6,worker-1,8h,3,workloadlaunch,os daemon,0.7673333,2.5871596,,No
4.11,4.11.6,worker-1,8h,3,workloadlaunch,infra pods,2.0721835,,,No
4.11,4.11.6,worker-1,8h,3,mustgather,os daemon,0.5633333,3.1125191,,No
4.11,4.11.6,worker-1,8h,3,mustgather,infra pods,2.6556069,,,No
4.11,4.11.6,worker-1,8h,3,promquery,os daemon,0.33,2.961263,,No
4.11,4.11.6,worker-1,8h,3,promquery,infra pods,2.689263,,,No
4.11,4.11.6,worker-1,8h,3,steadyworkload,os daemon,0.318,2.2508586,,No
4.11,4.11.6,worker-1,8h,3,steadyworkload,infra pods,2.0141919,,,No
4.11,4.11.6,worker-1,8h,4,idle,os daemon,0.2313333,2.1326375,,No
4.11,4.11.6,worker-1,8h,4,idle,infra pods,1.9527541,,,No
4.11,4.11.6,worker-1,8h,4,workloadlaunch,os daemon,0.5673333,2.3554257,,No
4.11,4.11.6,worker-1,8h,4,workloadlaunch,infra pods,1.963383,,,No
4.11,4.11.6,worker-1,8h,4,mustgather,os daemon,0.5,2.6800535,,No
4.11,4.11.6,worker-1,8h,4,mustgather,infra pods,2.3687202,,,No
4.11,4.11.6,worker-1,8h,4,promquery,os daemon,0.3006667,2.7241207,,No
4.11,4.11.6,worker-1,8h,4,promquery,infra pods,2.423454,,,No
4.11,4.11.6,worker-1,8h,4,steadyworkload,os daemon,0.3326667,2.2862489,,No
4.11,4.11.6,worker-1,8h,4,steadyworkload,infra pods,2.0188098,,,No
4.12,4.12.0-0.nightly-2022-10-24-103753-spr,worker-0,8h,1,idle,os daemon,0.2753333,1.4077475,4.18.0-372.32.1.rt7.189.el8_6.spr.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-spr,worker-0,8h,1,idle,infra pods,1.1637475,,4.18.0-372.32.1.rt7.189.el8_6.spr.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-spr,worker-0,8h,1,workloadlaunch,os daemon,0.9766667,1.929815,4.18.0-372.32.1.rt7.189.el8_6.spr.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-spr,worker-0,8h,1,workloadlaunch,infra pods,1.1971642,,4.18.0-372.32.1.rt7.189.el8_6.spr.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-spr,worker-0,8h,1,mustgather,os daemon,0.658,2.140824,4.18.0-372.32.1.rt7.189.el8_6.spr.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-spr,worker-0,8h,1,mustgather,infra pods,1.722824,,4.18.0-372.32.1.rt7.189.el8_6.spr.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-spr,worker-0,8h,1,promquery,os daemon,0.4213333,2.2437769,4.18.0-372.32.1.rt7.189.el8_6.spr.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-spr,worker-0,8h,1,promquery,infra pods,1.8744435,,4.18.0-372.32.1.rt7.189.el8_6.spr.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-spr,worker-0,8h,1,steadyworkload,os daemon,0.58,1.6131744,4.18.0-372.32.1.rt7.189.el8_6.spr.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-spr,worker-0,8h,1,steadyworkload,infra pods,1.1982681,,4.18.0-372.32.1.rt7.189.el8_6.spr.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753,worker-1,8h,1,idle,os daemon,0.2113333,1.1735351,4.18.0-372.26.1.rt7.183.el8_6.x86_64,No
4.12,4.12.0-0.nightly-2022-10-24-103753,worker-1,8h,1,idle,infra pods,0.9973065,,4.18.0-372.26.1.rt7.183.el8_6.x86_64,No
4.12,4.12.0-0.nightly-2022-10-24-103753,worker-1,8h,1,workloadlaunch,os daemon,1.1633333,2.0590792,4.18.0-372.26.1.rt7.183.el8_6.x86_64,No
4.12,4.12.0-0.nightly-2022-10-24-103753,worker-1,8h,1,workloadlaunch,infra pods,1.1482262,,4.18.0-372.26.1.rt7.183.el8_6.x86_64,No
4.12,4.12.0-0.nightly-2022-10-24-103753,worker-1,8h,1,mustgather,os daemon,0.56,1.5479892,4.18.0-372.26.1.rt7.183.el8_6.x86_64,No
4.12,4.12.0-0.nightly-2022-10-24-103753,worker-1,8h,1,mustgather,infra pods,1.1540275,,4.18.0-372.26.1.rt7.183.el8_6.x86_64,No
4.12,4.12.0-0.nightly-2022-10-24-103753,worker-1,8h,1,promquery,os daemon,0.3186667,1.8966602,4.18.0-372.26.1.rt7.183.el8_6.x86_64,No
4.12,4.12.0-0.nightly-2022-10-24-103753,worker-1,8h,1,promquery,infra pods,1.6565802,,4.18.0-372.26.1.rt7.183.el8_6.x86_64,No
4.12,4.12.0-0.nightly-2022-10-24-103753,worker-1,8h,1,steadyworkload,os daemon,0.3886667,1.3987773,4.18.0-372.26.1.rt7.183.el8_6.x86_64,No
4.12,4.12.0-0.nightly-2022-10-24-103753,worker-1,8h,1,steadyworkload,infra pods,1.1524893,,4.18.0-372.26.1.rt7.183.el8_6.x86_64,No
4.12,4.12.0-0.nightly-2022-10-24-103753,worker-1,8h,2,idle,os daemon,0.2626667,1.2485676,,No
4.12,4.12.0-0.nightly-2022-10-24-103753,worker-1,8h,2,idle,infra pods,1.0145251,,,No
4.12,4.12.0-0.nightly-2022-10-24-103753,worker-1,8h,2,workloadlaunch,os daemon,0.8634485,1.8055687,,No
4.12,4.12.0-0.nightly-2022-10-24-103753,worker-1,8h,2,workloadlaunch,infra pods,1.1969199,,,No
4.12,4.12.0-0.nightly-2022-10-24-103753,worker-1,8h,2,mustgather,os daemon,0.8526667,2.5960573,,No
4.12,4.12.0-0.nightly-2022-10-24-103753,worker-1,8h,2,mustgather,infra pods,1.8333906,,,No
4.12,4.12.0-0.nightly-2022-10-24-103753,worker-1,8h,2,promquery,os daemon,0.3993333,2.46492,,No
4.12,4.12.0-0.nightly-2022-10-24-103753,worker-1,8h,2,promquery,infra pods,2.07892,,,No
