Version,OCP Version,Operator Version,Index,Max,Min,Avg,Availability,Number of Nines,Cluster,Duration,Kernel,Sideloaded
4.11,4.11.0-rc.1,4.11,1,7,2,2,100.0000000000000,100,worker-0,8h,,No
4.11,4.11.0-rc.1,4.11,10,7,2,2,100.0000000000000,100,worker-0,8h,,No
4.11,4.11.0-rc.1,4.11,11,6,2,2,100.0000000000000,100,worker-0,8h,,No
4.11,4.11.0-rc.1,4.11,12,6,2,2,100.0000000000000,100,worker-0,8h,,No
4.11,4.11.0-rc.1,4.11,13,5,2,2,100.0000000000000,100,worker-0,8h,,No
4.11,4.11.0-rc.1,4.11,2,6,2,2,100.0000000000000,100,worker-0,8h,,No
4.11,4.11.0-rc.1,4.11,3,7,2,2,100.0000000000000,100,worker-0,8h,,No
4.11,4.11.0-rc.1,4.11,4,7,2,2,100.0000000000000,100,worker-0,8h,,No
4.11,4.11.0-rc.1,4.11,5,7,2,2,100.0000000000000,100,worker-0,8h,,No
4.11,4.11.0-rc.1,4.11,6,7,2,2,100.0000000000000,100,worker-0,8h,,No
4.11,4.11.0-rc.1,4.11,7,6,2,2,100.0000000000000,100,worker-0,8h,,No
4.11,4.11.0-rc.1,4.11,8,5,2,2,100.0000000000000,100,worker-0,8h,,No
4.11,4.11.0-rc.1,4.11,9,6,2,2,100.0000000000000,100,worker-0,8h,,No
4.10,4.10.23,4.10,0,7,2,2,100,100,worker-2,8h,,No
4.10,4.10.23,4.10,1,8,2,2,100,100,worker-2,8h,,No
4.10,4.10.23,4.10,10,8,2,2,100,100,worker-2,8h,,No
4.10,4.10.23,4.10,11,7,2,2,100,100,worker-2,8h,,No
4.10,4.10.23,4.10,12,7,2,2,100,100,worker-2,8h,,No
4.10,4.10.23,4.10,13,6,2,2,100,100,worker-2,8h,,No
4.10,4.10.23,4.10,2,7,2,2,100,100,worker-2,8h,,No
4.10,4.10.23,4.10,3,8,2,2,100,100,worker-2,8h,,No
4.10,4.10.23,4.10,4,6,2,2,100,100,worker-2,8h,,No
4.10,4.10.23,4.10,5,7,2,2,100,100,worker-2,8h,,No
4.10,4.10.23,4.10,6,7,2,2,100,100,worker-2,8h,,No
4.10,4.10.23,4.10,7,8,2,2,100,100,worker-2,8h,,No
4.10,4.10.23,4.10,8,8,2,2,100,100,worker-2,8h,,No
4.10,4.10.23,4.10,9,7,2,2,100,100,worker-2,8h,,No
4.11,4.11.0-rc.5,4.11,0,5,2,2,100,100,worker-1,8h,,No
4.11,4.11.0-rc.5,4.11,1,21,2,2,99.99995833,6,worker-1,8h,,No
4.11,4.11.0-rc.5,4.11,10,18,2,2,99.99997569,6,worker-1,8h,,No
