Version,OCP Version,Operator Version,Index,Max,Min,Avg,Availability,Number of Nines,Cluster,Duration,Kernel,Sideloaded
4.11,4.11.0-rc.5,4.11,3,7,1,1,100,100,worker-1,8h,,No
4.11,4.11.0-rc.5,4.11,4,8,1,1,100,100,worker-1,8h,,No
4.11,4.11.0-rc.5,4.11,5,7,1,1,100,100,worker-1,8h,,No
4.11,4.11.0-rc.5,4.11,6,7,1,1,100,100,worker-1,8h,,No
4.11,4.11.0-rc.5,4.11,0,8,1,1,100,100,worker-1,8h,,No
4.11,4.11.0-rc.5,4.11,7,7,1,1,100,100,worker-1,8h,,No
4.11,4.11.0-rc.5,4.11,8,7,1,1,100,100,worker-1,8h,,No
4.11,4.11.0-rc.5,4.11,9,7,1,1,100,100,worker-1,8h,,No
4.11,4.11.0-rc.5,4.11,10,7,1,1,100,100,worker-1,8h,,No
4.11,4.11.0-rc.5,4.11,11,7,1,1,100,100,worker-1,8h,,No
4.11,4.11.0-rc.5,4.11,12,7,1,1,100,100,worker-1,8h,,No
4.11,4.11.0-rc.5,4.11,13,7,1,1,100,100,worker-1,8h,,No
4.11,4.11.0-rc.5,4.11,1,8,1,1,100,100,worker-1,8h,,No
4.11,4.11.0-rc.5,4.11,2,7,1,1,100,100,worker-1,8h,,No
4.11,4.11.6,4.11,3,6,1,1,100,100,worker-1,8h,,No
4.11,4.11.6,4.11,4,7,1,1,100,100,worker-1,8h,,No
4.11,4.11.6,4.11,5,7,1,1,100,100,worker-1,8h,,No
4.11,4.11.6,4.11,6,7,1,1,100,100,worker-1,8h,,No
4.11,4.11.6,4.11,0,7,1,1,100,100,worker-1,8h,,No
4.11,4.11.6,4.11,7,7,1,1,100,100,worker-1,8h,,No
4.11,4.11.6,4.11,8,7,1,1,100,100,worker-1,8h,,No
4.11,4.11.6,4.11,9,7,1,1,100,100,worker-1,8h,,No
4.11,4.11.6,4.11,10,7,1,1,100,100,worker-1,8h,,No
4.11,4.11.6,4.11,11,7,1,1,100,100,worker-1,8h,,No
4.11,4.11.6,4.11,12,7,1,1,100,100,worker-1,8h,,No
4.11,4.11.6,4.11,13,23,1,1,100,11,worker-1,8h,,No
4.11,4.11.6,4.11,1,7,1,1,100,100,worker-1,8h,,No
4.11,4.11.6,4.11,2,7,1,1,100,100,worker-1,8h,,No
4.12,4.12.0-0.nightly-2022-10-24-103753-spr,4.12,3,9,1,1,100,100,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.spr.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-spr,4.12,4,8,1,1,100,100,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.spr.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-spr,4.12,5,9,1,1,100,100,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.spr.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-spr,4.12,6,7,1,1,100,100,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.spr.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-spr,4.12,0,9,1,1,100,100,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.spr.x86_64,Yes
