Version,OCP Version,Operator Version,Reboot Type,Stage,Iteration,Seconds,Total Minutes,Cluster,Kernel,Sideloaded
4.11,4.11.0-rc.5,4.11,Soft reboot,Node Pingable,1,311,10.17,worker-1,,No
4.11,4.11.0-rc.5,4.11,Soft reboot,OC Reachable,1,102,,worker-1,,No
4.11,4.11.0-rc.5,4.11,Soft reboot,Workload Recovery,1,115,,worker-1,,No
4.11,4.11.0-rc.5,4.11,Soft reboot,Cluster Recovery,1,82,,worker-1,,No
4.11,4.11.0-rc.5,4.11,Soft reboot,Node Pingable,2,304,10.23,worker-1,,No
4.11,4.11.0-rc.5,4.11,Soft reboot,OC Reachable,2,99,,worker-1,,No
4.11,4.11.0-rc.5,4.11,Soft reboot,Workload Recovery,2,125,,worker-1,,No
4.11,4.11.0-rc.5,4.11,Soft reboot,Cluster Recovery,2,86,,worker-1,,No
4.11,4.11.0-rc.5,4.11,Soft reboot,Node Pingable,3,215,8.97,worker-1,,No
4.11,4.11.0-rc.5,4.11,Soft reboot,OC Reachable,3,99,,worker-1,,No
4.11,4.11.0-rc.5,4.11,Soft reboot,Workload Recovery,3,125,,worker-1,,No
4.11,4.11.0-rc.5,4.11,Soft reboot,Cluster Recovery,3,99,,worker-1,,No
4.11,4.11.0-rc.5,4.11,Soft reboot,Node Pingable,4,303,12.57,worker-1,,No
4.11,4.11.0-rc.5,4.11,Soft reboot,OC Reachable,4,102,,worker-1,,No
4.11,4.11.0-rc.5,4.11,Soft reboot,Workload Recovery,4,235,,worker-1,,No
4.11,4.11.0-rc.5,4.11,Soft reboot,Cluster Recovery,4,114,,worker-1,,No
4.11,4.11.0-rc.5,4.11,Soft reboot,Node Pingable,5,219,10.02,worker-1,,No
4.11,4.11.0-rc.5,4.11,Soft reboot,OC Reachable,5,99,,worker-1,,No
4.11,4.11.0-rc.5,4.11,Soft reboot,Workload Recovery,5,120,,worker-1,,No
4.11,4.11.0-rc.5,4.11,Soft reboot,Cluster Recovery,5,163,,worker-1,,No
4.11,4.11.0-rc.5,4.11,Soft reboot,Node Pingable,6,218,10.38,worker-1,,No
4.11,4.11.0-rc.5,4.11,Soft reboot,OC Reachable,6,102,,worker-1,,No
4.11,4.11.0-rc.5,4.11,Soft reboot,Workload Recovery,6,120,,worker-1,,No
4.11,4.11.0-rc.5,4.11,Soft reboot,Cluster Recovery,6,183,,worker-1,,No
4.11,4.11.0-rc.5,4.11,Power off/on,Node Pingable,1,172,9.90,worker-1,,No
4.11,4.11.0-rc.5,4.11,Power off/on,OC Reachable,1,103,,worker-1,,No
4.11,4.11.0-rc.5,4.11,Power off/on,Workload Recovery,1,205,,worker-1,,No
4.11,4.11.0-rc.5,4.11,Power off/on,Cluster Recovery,1,114,,worker-1,,No
4.11,4.11.0-rc.5,4.11,Power off/on,Node Pingable,2,173,9.98,worker-1,,No
4.11,4.11.0-rc.5,4.11,Power off/on,OC Reachable,2,103,,worker-1,,No
4.11,4.11.0-rc.5,4.11,Power off/on,Workload Recovery,2,225,,worker-1,,No
4.11,4.11.0-rc.5,4.11,Power off/on,Cluster Recovery,2,98,,worker-1,,No
4.11,4.11.0-rc.5,4.11,Power off/on,Node Pingable,3,174,10.52,worker-1,,No
4.11,4.11.0-rc.5,4.11,Power off/on,OC Reachable,3,105,,worker-1,,No
4.11,4.11.0-rc.5,4.11,Power off/on,Workload Recovery,3,220,,worker-1,,No
4.11,4.11.0-rc.5,4.11,Power off/on,Cluster Recovery,3,132,,worker-1,,No
4.11,4.11.0-rc.5,4.11,Power off/on,Node Pingable,4,172,10.88,worker-1,,No
4.11,4.11.0-rc.5,4.11,Power off/on,OC Reachable,4,109,,worker-1,,No
4.11,4.11.0-rc.5,4.11,Power off/on,Workload Recovery,4,240,,worker-1,,No
4.11,4.11.0-rc.5,4.11,Power off/on,Cluster Recovery,4,132,,worker-1,,No
4.11,4.11.0-rc.5,4.11,Power off/on,Node Pingable,5,173,11.10,worker-1,,No
4.11,4.11.0-rc.5,4.11,Power off/on,OC Reachable,5,105,,worker-1,,No
4.11,4.11.0-rc.5,4.11,Power off/on,Workload Recovery,5,225,,worker-1,,No
4.11,4.11.0-rc.5,4.11,Power off/on,Cluster Recovery,5,163,,worker-1,,No
4.11,4.11.0-rc.5,4.11,Power off/on,Node Pingable,6,172,11.70,worker-1,,No
4.11,4.11.0-rc.5,4.11,Power off/on,OC Reachable,6,106,,worker-1,,No
4.11,4.11.0-rc.5,4.11,Power off/on,Workload Recovery,6,245,,worker-1,,No
4.11,4.11.0-rc.5,4.11,Power off/on,Cluster Recovery,6,179,,worker-1,,No
4.11,4.11.6,4.11,Soft reboot,Node Pingable,1,311,9.90,worker-1,,No
4.11,4.11.6,4.11,Soft reboot,OC Reachable,1,99,,worker-1,,No
4.11,4.11.6,4.11,Soft reboot,Workload Recovery,1,100,,worker-1,,No
4.11,4.11.6,4.11,Soft reboot,Cluster Recovery,1,84,,worker-1,,No
4.11,4.11.6,4.11,Soft reboot,Node Pingable,2,215,8.60,worker-1,,No
4.11,4.11.6,4.11,Soft reboot,OC Reachable,2,102,,worker-1,,No
