Version,OCP Version,Frame size,Throughput,Min Delay,Avg Delay,Max Delay,NIC,Cluster,Duration,Kernel,histogram
4.10,4.10.6,512,93.145,6.202,8.74,37.768,XXV710,cnfde4,8h,rt,
4.10,4.10.23,512,99.912,6.02,7.073,31.8,E810,cnfde4,8h,4.18.0-305.49.1.rt7.121.el8_4.x86_64,
4.10,4.10.8,512,99.824,5.84,7.063,31.635,E810,cnfde4,8h,4.18.0-305.40.2.el8_4.x86_64,
4.11,4.11.0-rc.1,512,99.912,6.07,7.125,32.128,E810,cnfde4,8h,4.18.0-372.13.1.rt7.170.el8_6.x86_64,
4.11,4.11.6,512,99.912,6.017,7.086,30.137,E810,cnfde4,8h,4.18.0-372.26.1.rt7.183.el8_6.x86_64,
4.12,4.12.0-0.nightly-2022-10-25-210451,512,99.912,5.875,6.982,32.735,E810,cnfde4,8h,4.18.0-372.26.1.rt7.183.el8_6.x86_64,"{x<5.31},0,0;{5.31<=x<5.63},0,0;{5.63<=x<5.95},151,0;{5.95<=x<6.27},2618462794,3;{6.27<=x<6.59},77590144758,1089198;{6.59<=x<6.91},46546143504,792272351;{6.91<=x<7.23},7665362676,32803939231;{7.23<=x<7.55},740116718,73290607890;{7.55<=x<7.87},50961314,24785330671;{7.87<=x<8.19},2663723,3268918020;{8.19<=x<8.51},589943,256159749;{8.51<=x<8.83},482607,15517568;{8.83<=x<9.15},403071,1023194;{9.15<=x<9.47},336645,442584;{9.47<=x<9.79},303988,356450;{x>=9.79},3276232,3591215;"
4.12,4.12.0-rc.1,512,99.912,6.027,7.126,30.405,E810,cnfde4,8h,"4.18.0-372.36.1.rt7.193.el8_6.x86_64
(sideloaded)","{x<5.22},0,0;{5.22<=x<5.86},0,0;{5.86<=x<6.50},40374627,3381585;{6.50<=x<7.14},87039997282,62600946137;{7.14<=x<7.78},47975066357,72093984037;{7.78<=x<8.42},157716488,514335864;{8.42<=x<9.06},1275094,1964697;{9.06<=x<9.70},852933,857834;{9.70<=x<10.34},655448,629539;{10.34<=x<10.98},528753,477991;{10.98<=x<11.62},411375,352445;{11.62<=x<12.26},303018,262838;{12.26<=x<12.90},230316,202968;{12.90<=x<13.54},175126,154678;{13.54<=x<14.18},144246,132078;{x>=14.18},1517061,1565433;"
4.12,4.12.0-rc.5,512,99.912,5.95,7.064,38.095,E810,cnfde4,8h,4.18.0-372.39.1.rt7.196.el8_6.x86_64,"{x<5.57},0,0;{5.57<=x<6.21},7629256,0;{6.21<=x<6.85},89281222752,1314271716;{6.85<=x<7.49},44573989460,98584450534;{7.49<=x<8.13},1342760548,34402508972;{8.13<=x<8.77},7714415,906964227;{8.77<=x<9.41},970293,5615355;{9.41<=x<10.05},725674,842608;{10.05<=x<10.69},643091,685859;{10.69<=x<11.33},590551,629430;{11.33<=x<11.97},471474,537807;{11.97<=x<12.61},334695,393598;{12.61<=x<13.25},232072,268997;{13.25<=x<13.89},174564,185977;{13.89<=x<14.53},163043,153220;{x>=14.53},1626236,1739824;"
4.12,4.12.0-rc.7,512,87.256,5.687,7.338,720.125,E810,cnfde4,8h,4.18.0-372.40.1.el8_6.iavf.bz2149746.bz2152493.x86_64,"{x<7.76},115417072977,95420858073;{7.76<=x<12.88},2344376670,22329337839;{12.88<=x<18.00},95052987,99030511;{18.00<=x<23.12},62614559,64797102;{23.12<=x<28.24},43047729,44448820;{28.24<=x<33.36},31220817,32154711;{33.36<=x<38.48},23523832,24164464;{38.48<=x<43.60},18079802,18554300;{43.60<=x<48.72},13982738,14360807;{48.72<=x<53.84},10763759,11073368;{53.84<=x<58.96},8166793,8401723;{58.96<=x<64.08},6056642,6239631;{64.08<=x<69.20},4368887,4508278;{69.20<=x<74.32},3047616,3163758;{74.32<=x<79.44},2095599,2168511;{x>=79.44},7345470,7554813;"
4.12,4.12.0-rc.8,512,99.912,5.915,7.013,32.688,E810,cnfde4,8h,4.18.0-372.40.1.rt7.197.el8_6.x86_64,"{x<4.22},0,0;{4.22<=x<4.86},0,0;{4.86<=x<5.50},0,0;{5.50<=x<6.14},1921615,0;{6.14<=x<6.78},106431489024,189218684;{6.78<=x<7.42},28223891309,79686737719;{7.42<=x<8.06},556812122,54338201132;{8.06<=x<8.70},2263098,997416892;{8.70<=x<9.34},209122,4889600;{9.34<=x<9.98},177530,191989;{9.98<=x<10.62},157629,165468;{10.62<=x<11.26},150142,153135;{11.26<=x<11.90},139509,146932;{11.90<=x<12.54},134277,143182;{12.54<=x<13.18},130349,132573;{x>=13.18},1772398,1850818;"
4.13,4.13.0-ec.3,512,99.912,5.91,7.01,39.02,E810,cnfde4,8h,4.18.0-372.41.1.rt7.198.el8_6.x86_64,"{x<4.20},0,0;{4.20<=x<4.84},0,0;{4.84<=x<5.48},0,0;{5.48<=x<6.12},0,4732024;{6.12<=x<6.76},1074405121,78074900917;{6.76<=x<7.40},93215415916,56203501375;{7.40<=x<8.04},40322459420,931403974;{8.04<=x<8.68},603173902,1840151;{8.68<=x<9.32},932854,217480;{9.32<=x<9.96},213771,178291;{9.96<=x<10.60},192132,159590;{10.60<=x<11.24},176113,149306;{11.24<=x<11.88},161743,140735;{11.88<=x<12.52},150667,135024;{12.52<=x<13.16},136772,126823;{x>=13.16},1829713,1762434;"
4.13,4.12.6,512,87.256,5.38,6.509,34.098,,cnfde22,8h,4.18.0-372.46.1.rt7.203.el8_6.x86_64,"{x<5.11},0,0;{5.11<=x<5.43},30,0;{5.43<=x<5.75},187871007,704;{5.75<=x<6.07},19135300113,97921701;{6.07<=x<6.39},71639478954,9836794495;{6.39<=x<6.71},25245551802,37851853370;{6.71<=x<7.03},1606354340,53056603141;{7.03<=x<7.35},237646794,15884267498;{7.35<=x<7.67},33040080,1185246905;{7.67<=x<7.99},3512796,154461319;{7.99<=x<8.31},864786,19791466;{8.31<=x<8.63},276077,2199406;{8.63<=x<8.95},86277,552825;{8.95<=x<9.27},37260,179771;{9.27<=x<9.59},26551,65846;{x>=9.59},780180,888604;"
