Version,OCP Version,Operator Version,Index,Max,Min,Avg,Availability,Number of Nines,Cluster,Duration,
4.9,4.9.0-rc.0,4.9,0,7,2,2,100.0000000000000,100,master-0,12h,
4.9,4.9.0-rc.0,4.9,1,7,2,2,100.0000000000000,100,master-0,12h,
4.9,4.9.0-rc.0,4.9,2,9,2,2,100.0000000000000,100,master-0,12h,
4.9,4.9.0-rc.0,4.9,3,7,2,2,100.0000000000000,100,master-0,12h,
4.9,4.9.0-rc.0,4.9,4,7,2,2,100.0000000000000,100,master-0,12h,
4.9,4.9.0-rc.0,4.9,5,7,2,2,100.0000000000000,100,master-0,12h,
4.9,4.9.0-rc.0,4.9,6,9,2,2,100.0000000000000,100,master-0,12h,
4.9,4.9.0-rc.0,4.9,7,7,2,2,100.0000000000000,100,master-0,12h,
4.9,4.9.0-rc.0,4.9,8,7,2,2,100.0000000000000,100,master-0,12h,
4.9,4.9.0-rc.0,4.9,9,9,2,2,100.0000000000000,100,master-0,12h,
4.9,4.9.0-rc.0,4.9,10,7,2,2,100.0000000000000,100,master-0,12h,
4.9,4.9.0-rc.0,4.9,11,14,2,2,99.9999976851850,7,master-0,12h,
4.9,4.9.0-rc.0,4.9,12,10,2,2,99.9999976851849,7,master-0,12h,
4.9,4.9.0-rc.0,4.9,13,8,2,2,100.0000000000000,100,master-0,12h,
4.9,4.9.0-rc.0,4.9,14,7,2,2,100.0000000000000,100,master-0,12h,
4.9,4.9.0-rc.0,4.9,15,6,2,2,100.0000000000000,100,master-0,12h,
4.8,4.8.15,4.8,0,9,2,2,100.0000000000000,100,master-1,8h,
4.8,4.8.15,4.8,1,7,2,2,100.0000000000000,100,master-1,8h,
4.8,4.8.15,4.8,2,7,2,2,100.0000000000000,100,master-1,8h,
4.8,4.8.15,4.8,3,7,2,2,100.0000000000000,100,master-1,8h,
4.8,4.8.15,4.8,4,9,2,2,100.0000000000000,100,master-1,8h,
4.8,4.8.15,4.8,5,8,2,2,100.0000000000000,100,master-1,8h,
4.8,4.8.15,4.8,6,7,2,2,100.0000000000000,100,master-1,8h,
4.8,4.8.15,4.8,7,7,2,2,100.0000000000000,100,master-1,8h,
4.8,4.8.15,4.8,8,8,2,2,100.0000000000000,100,master-1,8h,
4.8,4.8.15,4.8,9,7,2,2,100.0000000000000,100,master-1,8h,
4.8,4.8.15,4.8,10,12,2,2,99.9999965277772,7,master-1,8h,
4.8,4.8.15,4.8,11,9,2,2,100.0000000000000,100,master-1,8h,
4.8,4.8.15,4.8,12,9,2,2,100.0000000000000,100,master-1,8h,
4.8,4.8.15,4.8,13,9,2,2,100.0000000000000,100,master-1,8h,
4.8,4.8.15,4.8,14,8,2,2,100.0000000000000,100,master-1,8h,
4.8,4.8.15,4.8,15,7,2,2,100.0000000000000,100,master-1,8h,
4.9,4.9.6,4.9,0,9,2,2,100.0000000000000,100,worker-2,8h,
4.9,4.9.6,4.9,1,8,2,2,100.0000000000000,100,worker-2,8h,
4.9,4.9.6,4.9,10,7,2,2,100.0000000000000,100,worker-2,8h,
4.9,4.9.6,4.9,11,9,2,2,100.0000000000000,100,worker-2,8h,
4.9,4.9.6,4.9,12,8,2,2,100.0000000000000,100,worker-2,8h,
4.9,4.9.6,4.9,13,6,2,2,100.0000000000000,100,worker-2,8h,
4.9,4.9.6,4.9,14,6,2,2,100.0000000000000,100,worker-2,8h,
4.9,4.9.6,4.9,15,6,2,2,100.0000000000000,100,worker-2,8h,
4.9,4.9.6,4.9,2,9,2,2,100.0000000000000,100,worker-2,8h,
4.9,4.9.6,4.9,3,6,2,2,100.0000000000000,100,worker-2,8h,
4.9,4.9.6,4.9,4,12,4,5,99.9999965277776,7,worker-2,8h,
4.9,4.9.6,4.9,5,9,2,2,100.0000000000000,100,worker-2,8h,
4.9,4.9.6,4.9,6,10,2,2,99.9999965277776,7,worker-2,8h,
4.9,4.9.6,4.9,7,8,2,2,100.0000000000000,100,worker-2,8h,
4.9,4.9.6,4.9,8,9,2,2,100.0000000000000,100,worker-2,8h,
4.9,4.9.6,4.9,9,9,2,2,100.0000000000000,100,worker-2,8h,
4.9,4.9.13-assembly.art3657,4.9,0,11,2,2,99.99994444,6,worker-2,1h,No time for 8h run due to tight release timeline
4.9,4.9.13-assembly.art3657,4.9,1,9,2,2,100,100,worker-2,1h,
4.9,4.9.13-assembly.art3657,4.9,10,6,2,2,100,100,worker-2,1h,
4.9,4.9.13-assembly.art3657,4.9,11,6,2,2,100,100,worker-2,1h,
4.9,4.9.13-assembly.art3657,4.9,12,5,2,2,100,100,worker-2,1h,
4.9,4.9.13-assembly.art3657,4.9,13,5,2,2,100,100,worker-2,1h,
4.9,4.9.13-assembly.art3657,4.9,2,8,2,2,100,100,worker-2,1h,
4.9,4.9.13-assembly.art3657,4.9,3,6,2,2,100,100,worker-2,1h,
4.9,4.9.13-assembly.art3657,4.9,4,9,4,4,100,100,worker-2,1h,
4.9,4.9.13-assembly.art3657,4.9,5,5,2,2,100,100,worker-2,1h,
4.9,4.9.13-assembly.art3657,4.9,6,6,2,2,100,100,worker-2,1h,
4.9,4.9.13-assembly.art3657,4.9,7,8,2,2,100,100,worker-2,1h,
4.9,4.9.13-assembly.art3657,4.9,8,7,2,2,100,100,worker-2,1h,
4.9,4.9.13-assembly.art3657,4.9,9,6,2,2,100,100,worker-2,1h,
4.10,4.10.0-rc.0,4.10,0,7,2,2,100,100,worker-2,8h,
4.10,4.10.0-rc.0,4.10,1,7,2,2,100,100,worker-2,8h,
4.10,4.10.0-rc.0,4.10,10,8,2,2,100,100,worker-2,8h,
4.10,4.10.0-rc.0,4.10,11,7,2,2,100,100,worker-2,8h,
4.10,4.10.0-rc.0,4.10,12,6,2,2,100,100,worker-2,8h,
4.10,4.10.0-rc.0,4.10,13,7,2,2,100,100,worker-2,8h,
4.10,4.10.0-rc.0,4.10,2,7,2,2,100,100,worker-2,8h,
4.10,4.10.0-rc.0,4.10,3,8,2,2,100,100,worker-2,8h,
4.10,4.10.0-rc.0,4.10,4,6,4,4,100,100,worker-2,8h,
4.10,4.10.0-rc.0,4.10,5,7,2,2,100,100,worker-2,8h,
4.10,4.10.0-rc.0,4.10,6,7,2,2,100,100,worker-2,8h,
4.10,4.10.0-rc.0,4.10,7,8,2,2,100,100,worker-2,8h,
4.10,4.10.0-rc.0,4.10,8,8,2,2,100,100,worker-2,8h,
4.10,4.10.0-rc.0,4.10,9,6,2,2,100,100,worker-2,8h,
4.10,4.10.8,4.10,0,8,2,2,100.0000000000000,100,worker-2,8h,
4.10,4.10.8,4.10,1,8,2,2,100.0000000000000,100,worker-2,8h,
4.10,4.10.8,4.10,10,9,2,2,100.0000000000000,100,worker-2,8h,
4.10,4.10.8,4.10,11,8,2,2,100.0000000000000,100,worker-2,8h,
4.10,4.10.8,4.10,12,7,2,2,100.0000000000000,100,worker-2,8h,
4.10,4.10.8,4.10,13,7,2,2,100.0000000000000,100,worker-2,8h,
4.10,4.10.8,4.10,2,7,2,2,100.0000000000000,100,worker-2,8h,
4.10,4.10.8,4.10,3,7,2,2,100.0000000000000,100,worker-2,8h,
4.10,4.10.8,4.10,4,12,2,2,99.9999965277776,7,worker-2,8h,
4.10,4.10.8,4.10,5,9,2,2,100.0000000000000,100,worker-2,8h,
4.10,4.10.8,4.10,6,8,2,2,100.0000000000000,100,worker-2,8h,
4.10,4.10.8,4.10,7,10,2,2,99.9999965277775,7,worker-2,8h,
4.10,4.10.8,4.10,8,7,2,2,100.0000000000000,100,worker-2,8h,
4.10,4.10.8,4.10,9,10,2,2,99.9999965277775,7,worker-2,8h,
4.11,4.11.0-rc.1,4.11,1,7,2,2,100.0000000000000,100,worker-0,8h,
4.11,4.11.0-rc.1,4.11,10,7,2,2,100.0000000000000,100,worker-0,8h,
4.11,4.11.0-rc.1,4.11,11,6,2,2,100.0000000000000,100,worker-0,8h,
4.11,4.11.0-rc.1,4.11,12,6,2,2,100.0000000000000,100,worker-0,8h,
4.11,4.11.0-rc.1,4.11,13,5,2,2,100.0000000000000,100,worker-0,8h,
4.11,4.11.0-rc.1,4.11,2,6,2,2,100.0000000000000,100,worker-0,8h,
4.11,4.11.0-rc.1,4.11,3,7,2,2,100.0000000000000,100,worker-0,8h,
4.11,4.11.0-rc.1,4.11,4,7,2,2,100.0000000000000,100,worker-0,8h,
4.11,4.11.0-rc.1,4.11,5,7,2,2,100.0000000000000,100,worker-0,8h,
4.11,4.11.0-rc.1,4.11,6,7,2,2,100.0000000000000,100,worker-0,8h,
4.11,4.11.0-rc.1,4.11,7,6,2,2,100.0000000000000,100,worker-0,8h,
4.11,4.11.0-rc.1,4.11,8,5,2,2,100.0000000000000,100,worker-0,8h,
4.11,4.11.0-rc.1,4.11,9,6,2,2,100.0000000000000,100,worker-0,8h,
4.10,4.10.23,4.10,0,7,2,2,100,100,worker-2,8h,
4.10,4.10.23,4.10,1,8,2,2,100,100,worker-2,8h,
4.10,4.10.23,4.10,10,8,2,2,100,100,worker-2,8h,
4.10,4.10.23,4.10,11,7,2,2,100,100,worker-2,8h,
4.10,4.10.23,4.10,12,7,2,2,100,100,worker-2,8h,
4.10,4.10.23,4.10,13,6,2,2,100,100,worker-2,8h,
4.10,4.10.23,4.10,2,7,2,2,100,100,worker-2,8h,
4.10,4.10.23,4.10,3,8,2,2,100,100,worker-2,8h,
4.10,4.10.23,4.10,4,6,2,2,100,100,worker-2,8h,
4.10,4.10.23,4.10,5,7,2,2,100,100,worker-2,8h,
4.10,4.10.23,4.10,6,7,2,2,100,100,worker-2,8h,
4.10,4.10.23,4.10,7,8,2,2,100,100,worker-2,8h,
4.10,4.10.23,4.10,8,8,2,2,100,100,worker-2,8h,
4.10,4.10.23,4.10,9,7,2,2,100,100,worker-2,8h,
4.11,4.11.0-rc.5,4.11,0,5,2,2,100,100,worker-1,8h,
4.11,4.11.0-rc.5,4.11,1,21,2,2,99.99995833,6,worker-1,8h,
4.11,4.11.0-rc.5,4.11,10,18,2,2,99.99997569,6,worker-1,8h,
4.11,4.11.0-rc.5,4.11,11,8,2,2,100,100,worker-1,8h,
4.11,4.11.0-rc.5,4.11,12,7,2,2,100,100,worker-1,8h,
4.11,4.11.0-rc.5,4.11,13,7,2,2,100,100,worker-1,8h,
4.11,4.11.0-rc.5,4.11,2,6,2,2,100,100,worker-1,8h,
4.11,4.11.0-rc.5,4.11,3,8,2,2,100,100,worker-1,8h,
4.11,4.11.0-rc.5,4.11,4,7,2,2,100,100,worker-1,8h,
4.11,4.11.0-rc.5,4.11,5,7,2,2,100,100,worker-1,8h,
4.11,4.11.0-rc.5,4.11,6,6,2,2,100,100,worker-1,8h,
4.11,4.11.0-rc.5,4.11,7,5,2,2,100,100,worker-1,8h,
4.11,4.11.0-rc.5,4.11,8,6,2,2,100,100,worker-1,8h,
4.11,4.11.0-rc.5,4.11,9,6,2,2,100,100,worker-1,8h,
4.11,4.11.6,4.11,0,7,2,2,100,100,worker-1,8h,
4.11,4.11.6,4.11,1,6,2,2,100,100,worker-1,8h,
4.11,4.11.6,4.11,10,6,2,2,100,100,worker-1,8h,
4.11,4.11.6,4.11,11,6,2,2,100,100,worker-1,8h,
4.11,4.11.6,4.11,12,6,2,2,100,100,worker-1,8h,
4.11,4.11.6,4.11,13,8,2,2,100,100,worker-1,8h,
4.11,4.11.6,4.11,2,6,2,2,100,100,worker-1,8h,
4.11,4.11.6,4.11,3,7,2,2,100,100,worker-1,8h,
4.11,4.11.6,4.11,4,6,2,2,100,100,worker-1,8h,
4.11,4.11.6,4.11,5,6,2,2,100,100,worker-1,8h,
4.11,4.11.6,4.11,6,6,2,2,100,100,worker-1,8h,
4.11,4.11.6,4.11,7,12,2,2,99.99999146,7,worker-1,8h,
4.11,4.11.6,4.11,8,31,2,2,99.99985912,5,worker-1,8h,
4.11,4.11.6,4.11,9,17,2,2,99.99999146,7,worker-1,8h,
4.12,4.12.0-rc.7,4.12,0,13,2,3,99.99995486,6,cnfdf35,8h,
4.12,4.12.0-rc.7,4.12,1,18,2,3,99.99993056,6,cnfdf35,8h,
4.12,4.12.0-rc.7,4.12,10,37,2,3,99.99997569,6,cnfdf35,8h,
4.12,4.12.0-rc.7,4.12,11,16,3,3,99.99999306,7,cnfdf35,8h,
4.12,4.12.0-rc.7,4.12,12,10,3,3,99.99999306,7,cnfdf35,8h,
4.12,4.12.0-rc.7,4.12,13,29,2,3,99.99998958,6,cnfdf35,8h,
4.12,4.12.0-rc.7,4.12,2,22,2,3,99.99997222,6,cnfdf35,8h,
4.12,4.12.0-rc.7,4.12,3,21,2,3,99.99990972,6,cnfdf35,8h,
4.12,4.12.0-rc.7,4.12,4,32,3,3,99.99988889,5,cnfdf35,8h,
4.12,4.12.0-rc.7,4.12,5,22,3,3,99.99988194,5,cnfdf35,8h,
4.12,4.12.0-rc.7,4.12,6,29,3,3,99.99996875,6,cnfdf35,8h,
4.12,4.12.0-rc.7,4.12,7,16,2,3,99.99998611,6,cnfdf35,8h,
4.12,4.12.0-rc.7,4.12,8,14,2,3,99.99999306,7,cnfdf35,8h,
4.12,4.12.0-rc.7,4.12,9,13,2,3,99.99996528,6,cnfdf35,8h,
4.12,4.12.0,4.12,0,7,3,3,100,100,cnfdf35,8h,
4.12,4.12.0,4.12,1,7,2,3,100,100,cnfdf35,8h,
4.12,4.12.0,4.12,10,8,2,3,100,100,cnfdf35,8h,
4.12,4.12.0,4.12,11,7,2,3,100,100,cnfdf35,8h,
4.12,4.12.0,4.12,12,7,2,3,100,100,cnfdf35,8h,
4.12,4.12.0,4.12,13,7,2,2,100,100,cnfdf35,8h,
4.12,4.12.0,4.12,2,7,2,3,100,100,cnfdf35,8h,
4.12,4.12.0,4.12,3,7,2,2,100,100,cnfdf35,8h,
4.12,4.12.0,4.12,4,7,2,2,100,100,cnfdf35,8h,
4.12,4.12.0,4.12,5,7,2,3,100,100,cnfdf35,8h,
4.12,4.12.0,4.12,6,7,3,3,100,100,cnfdf35,8h,
4.12,4.12.0,4.12,7,7,2,3,100,100,cnfdf35,8h,
4.12,4.12.0,4.12,8,7,2,3,100,100,cnfdf35,8h,
4.12,4.12.0,4.12,9,8,2,3,100,100,cnfdf35,8h,
4.11,4.11.22,4.11,0,8,3,3,100,100,cnfdf35,8h,
4.11,4.11.22,4.11,1,8,3,3,100,100,cnfdf35,8h,
4.11,4.11.22,4.11,10,7,3,3,100,100,cnfdf35,8h,
4.11,4.11.22,4.11,11,7,3,3,100,100,cnfdf35,8h,
4.11,4.11.22,4.11,12,7,3,3,100,100,cnfdf35,8h,
4.11,4.11.22,4.11,13,7,3,3,100,100,cnfdf35,8h,
4.11,4.11.22,4.11,2,7,2,3,100,100,cnfdf35,8h,
4.11,4.11.22,4.11,3,7,2,3,100,100,cnfdf35,8h,
4.11,4.11.22,4.11,4,7,2,3,100,100,cnfdf35,8h,
4.11,4.11.22,4.11,5,7,2,3,100,100,cnfdf35,8h,
4.11,4.11.22,4.11,6,7,3,3,100,100,cnfdf35,8h,
4.11,4.11.22,4.11,7,7,3,3,100,100,cnfdf35,8h,
4.11,4.11.22,4.11,8,7,3,3,100,100,cnfdf35,8h,
4.11,4.11.22,4.11,9,8,3,3,100,100,cnfdf35,8h,
