Version,OCP Version,Operator Source,Stage,Iteration,Seconds,Total Minutes,Cluster,Reboot Count
4.9,4.9.5,brew,DeploySnoDuNode,1,2849,98.52,master-2,
4.9,4.9.5,brew,WaitForDuProfileApply,1,3062,,master-2,
4.9,4.9.5,brew,DeploySnoDuNode,2,2651,94.20,master-0,
4.9,4.9.5,brew,WaitForDuProfileApply,2,3001,,master-0,
4.9,4.9.5,brew,DeploySnoDuNode,3,2838,116.78,master-0,
4.9,4.9.5,brew,WaitForDuProfileApply,3,4169,,master-0,7
4.9,4.9.5,brew,DeploySnoDuNode,4,2733,111.60,master-2,
4.9,4.9.5,brew,WaitForDuProfileApply,4,3963,,master-2,7
4.9,4.9.5,brew,DeploySnoDuNode,5,2849,123.63,master-2,
4.9,4.9.5,brew,WaitForDuProfileApply,5,4569,,master-2,7
4.8,4.8.15,brew,DeploySnoDuNode,2,2723,124.63,master-0,
4.8,4.8.15,brew,WaitForDuProfileApply,2,4755,,master-0,
4.8,4.8.15,brew,DeploySnoDuNode,1,2653,115.98,master-1,
4.8,4.8.15,brew,WaitForDuProfileApply,1,4306,,master-1,
4.8,4.8.15,brew,DeploySnoDuNode,3,2980,121.50,master-0,
4.8,4.8.15,brew,WaitForDuProfileApply,3,4310,,master-0,
4.9,4.9.6,stage,DeploySnoDuNode,1,2482,115.98,master-0,8
4.9,4.9.6,stage,WaitForDuProfileApply,1,4477,,master-0,
4.9,4.9.6,stage,DeploySnoDuNode,2,3454,152.87,master-0,7
4.9,4.9.6,stage,WaitForDuProfileApply,2,5718,,master-0,
4.9,4.9.6,stage,DeploySnoDuNode,3,2544,116.25,master-0,7
4.9,4.9.6,stage,WaitForDuProfileApply,3,4431,,master-0,
4.9,4.9.6,stage,DeploySnoDuNode,4,2666,104.50,master-0,7
4.9,4.9.6,stage,WaitForDuProfileApply,4,3604,,master-0,
4.9,4.9.13-assembly.art3657,prod,DeploySnoDuNode,1,2676,81.42,worker-2,5
4.9,4.9.13-assembly.art3657,prod,WaitForDuProfileApply,1,2209,,worker-2,
4.10,4.10.8,stage,DeploySnoDuNode,1,2385,86.75,worker-0,4
4.10,4.10.8,stage,WaitForDuProfileApply,1,2820,,worker-0,
4.10,4.10.8,stage,DeploySnoDuNode,2,2990,97.77,worker-0,4
4.10,4.10.8,stage,WaitForDuProfileApply,2,2876,,worker-0,
4.10,4.10.8,stage,DeploySnoDuNode,3,2747,97.53,worker-0,4
4.10,4.10.8,stage,WaitForDuProfileApply,3,3105,,worker-0,
4.10,4.10.8,stage,DeploySnoDuNode,4,2808,91.58,worker-0,4
4.10,4.10.8,stage,WaitForDuProfileApply,4,2687,,worker-0,
