Version,OCP Version,Operator Version,Index,Max,Min,Avg,Availability,Number of Nines,Cluster,Duration
4.8,4.8.15,4.8,0,21,1,1,99.9999999998858,11,master-1,8h
4.8,4.8.15,4.8,1,19,1,1,100.0000000000000,100,master-1,8h
4.8,4.8.15,4.8,2,18,1,1,100.0000000000000,100,master-1,8h
4.8,4.8.15,4.8,3,26,1,1,99.9999999998874,11,master-1,8h
4.8,4.8.15,4.8,4,19,1,1,100.0000000000000,100,master-1,8h
4.8,4.8.15,4.8,5,18,1,1,100.0000000000000,100,master-1,8h
4.8,4.8.15,4.8,6,19,1,1,100.0000000000000,100,master-1,8h
4.8,4.8.15,4.8,7,14,1,1,100.0000000000000,100,master-1,8h
4.8,4.8.15,4.8,8,15,1,1,100.0000000000000,100,master-1,8h
4.8,4.8.15,4.8,9,15,1,1,100.0000000000000,100,master-1,8h
4.8,4.8.15,4.8,10,15,1,1,100.0000000000000,100,master-1,8h
4.8,4.8.15,4.8,11,17,1,1,100.0000000000000,100,master-1,8h
4.8,4.8.15,4.8,12,14,1,1,100.0000000000000,100,master-1,8h
4.8,4.8.15,4.8,13,16,1,1,100.0000000000000,100,master-1,8h
4.9,4.9.0 rc.0,4.9,0,21,1,1,99.9999999999252,12,master-0,12h
4.9,4.9.0 rc.0,4.9,1,20,1,1,100.0000000000000,100,master-0,12h
4.9,4.9.0 rc.0,4.9,2,19,1,1,100.0000000000000,100,master-0,12h
4.9,4.9.0 rc.0,4.9,3,19,1,1,100.0000000000000,100,master-0,12h
4.9,4.9.0 rc.0,4.9,4,19,1,1,100.0000000000000,100,master-0,12h
4.9,4.9.0 rc.0,4.9,5,18,1,1,100.0000000000000,100,master-0,12h
4.9,4.9.0 rc.0,4.9,6,19,1,1,100.0000000000000,100,master-0,12h
4.9,4.9.0 rc.0,4.9,7,16,1,1,100.0000000000000,100,master-0,12h
4.9,4.9.0 rc.0,4.9,8,15,1,1,100.0000000000000,100,master-0,12h
4.9,4.9.0 rc.0,4.9,9,15,1,1,100.0000000000000,100,master-0,12h
4.9,4.9.0 rc.0,4.9,10,17,1,1,100.0000000000000,100,master-0,12h
4.9,4.9.0 rc.0,4.9,11,17,1,1,100.0000000000000,100,master-0,12h
4.9,4.9.0 rc.0,4.9,12,15,1,1,100.0000000000000,100,master-0,12h
4.9,4.9.0 rc.0,4.9,13,15,1,1,100.0000000000000,100,master-0,12h
4.9,4.9.6,4.9,3,26,1,1,99.9999999998874,11,worker-2,8h
4.9,4.9.6,4.9,4,25,1,1,99.9999999998866,11,worker-2,8h
4.9,4.9.6,4.9,5,27,1,1,99.9999999998875,11,worker-2,8h
4.9,4.9.6,4.9,6,27,1,1,99.9999999998875,11,worker-2,8h
4.9,4.9.6,4.9,0,27,1,1,99.9999999998875,11,worker-2,8h
4.9,4.9.6,4.9,7,19,1,1,100.0000000000000,100,worker-2,8h
4.9,4.9.6,4.9,8,21,1,1,99.9999999998874,11,worker-2,8h
4.9,4.9.6,4.9,9,19,1,1,100.0000000000000,100,worker-2,8h
4.9,4.9.6,4.9,10,17,1,1,100.0000000000000,100,worker-2,8h
4.9,4.9.6,4.9,11,19,1,1,100.0000000000000,100,worker-2,8h
4.9,4.9.6,4.9,12,17,1,1,100.0000000000000,100,worker-2,8h
4.9,4.9.6,4.9,13,20,1,1,99.9999999998875,11,worker-2,8h
4.9,4.9.6,4.9,1,24,1,1,99.9999999998874,11,worker-2,8h
4.9,4.9.6,4.9,2,27,1,1,99.9999999998874,11,worker-2,8h
4.9,4.9.13-assembly.art3657,4.9,3,24,1,1,99.9999999998874,11,worker-2,8h
4.9,4.9.13-assembly.art3657,4.9,4,28,1,1,99.9999999998867,11,worker-2,8h
4.9,4.9.13-assembly.art3657,4.9,5,31,1,1,99.9999999998875,11,worker-2,8h
4.9,4.9.13-assembly.art3657,4.9,6,29,1,1,99.9999999998876,11,worker-2,8h
4.9,4.9.13-assembly.art3657,4.9,0,22,1,1,99.9999999998875,11,worker-2,8h
4.9,4.9.13-assembly.art3657,4.9,7,24,1,1,99.9999999998875,11,worker-2,8h
4.9,4.9.13-assembly.art3657,4.9,8,24,1,1,99.9999999998875,11,worker-2,8h
4.9,4.9.13-assembly.art3657,4.9,9,21,1,1,99.9999999998875,11,worker-2,8h
4.9,4.9.13-assembly.art3657,4.9,10,31,1,1,99.9999999998874,11,worker-2,8h
4.9,4.9.13-assembly.art3657,4.9,11,26,1,1,99.9999999998867,11,worker-2,8h
4.9,4.9.13-assembly.art3657,4.9,12,22,1,1,99.9999999998875,11,worker-2,8h
4.9,4.9.13-assembly.art3657,4.9,13,26,1,1,99.9999999998876,11,worker-2,8h
4.9,4.9.13-assembly.art3657,4.9,1,28,1,1,99.9999999998875,11,worker-2,8h
4.9,4.9.13-assembly.art3657,4.9,2,6,1,1,99.9999999998875,11,worker-2,8h
4.10,4.10.0-rc.0,4.10,3,5,1,1,100.0000000000000,100,worker-2,8h
